Nom de la salle,Budget,Capacité,Email,Lien Google Maps,Lien site,Phone,Prestataire,Status,Type,Tâches,Ville / Région
The Villa,,,,"https://www.google.com/maps/place/The+Villa/@50.8809024,4.2584931,17z/data=!4m15!1m8!3m7!1s0x47c3c0e36e5dd069:0x7c4eb8cce89458da!2sSint-Egidiusweg+2,+1702+Dilbeek,+Belgique!3b1!8m2!3d50.8809024!4d4.2584931!16s%2Fg%2F11bw40lknj!3m5!1s0x47c3c0e36e607249:0x1cdd019c0c7c39f0!8m2!3d50.8805451!4d4.2585434!16s%2Fg%2F11b64mbcs0?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",https://www.villa-event.be/,,,A contacter,Salle,,"Sint-Egidiusweg 2, 1702 Dilbeek, Belgium"
Alta Ripa,,,,"https://www.google.com/maps/place/Alta+Ripa/@50.757529,3.4303388,17z/data=!4m18!1m8!3m7!1s0x47c3185e2034bf15:0xfcbb93ca19a12fc1!2sDoorniksesteenweg+357,+8582+Avelgem,+Belgique!3b1!8m2!3d50.757529!4d3.4303388!16s%2Fg%2F11q2ndlnvq!3m8!1s0x47c3185e3e9c113b:0x6289354fc69fdbad!5m2!4m1!1i2!8m2!3d50.7573585!4d3.4306576!16s%2Fg%2F1tf1m_2x?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",https://www.alta-ripa.be/,,,A contacter,Salle,,"Doorniksesteenweg 357, 8582 Avelgem, Belgium"
"La ferme de Bertinchamps, Ophain",,,,"https://www.google.com/maps/place/La+Ferme+Bertinchamps+d%E2%80%99Ophain/@50.6507998,4.3429542,14.83z/data=!4m6!3m5!1s0x47c3cdb0912c1401:0x8f59faf921740410!8m2!3d50.6540264!4d4.3399131!16s%2Fg%2F12hp6_62y?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",https://www.lafermebertinchamps.be/,,,A contacter,Salle,,"Chemin Bertinchamps, 1421 Braine-l'Alleud, Belgium"
La Rotonde,,,,"https://www.google.com/maps/place/La+Rotonde/@50.8432307,4.4436799,17z/data=!4m15!1m8!3m7!1s0x47c3db6294cfffff:0xcaf0c7e8b7de65e7!2sAv.+Jean-Fran%C3%A7ois+Debecker+54b,+1200+Woluwe-Saint-Lambert,+Belgique!3b1!8m2!3d50.8432307!4d4.4436799!16s%2Fg%2F11tb90h4rq!3m5!1s0x47c3dc9d552061e9:0x8a8f0b88b4d102ec!8m2!3d50.8432307!4d4.4436799!16s%2Fg%2F1tj1r757?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",https://www.la-rotonde-by-dl.be/,,,A contacter,Restaurant,,"Jean-François Debeckerlaan 54b, 1200 Sint-Lambrechts-Woluwe, Belgium"
Les salons du Forum,,,,"https://www.google.com/maps/place/Les+salons+du+Forum/@50.4968522,4.2348387,17.46z/data=!4m6!3m5!1s0x47c23718ec1e370b:0x30e9b3c3bdb3a65b!8m2!3d50.4969787!4d4.2350101!16s%2Fg%2F1pxwsj40j?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://leforum-manage.be/,,,A contacter,Salle,,"Rue des Brasseries 1, 7170 Manage, Belgium"
Chateau de la Hulpe,,,,"https://www.google.com/maps/search/?api=1&query=Chateau%20de%20la%20Hulpe,Chateau%20de%20la%20Hulpe%2C%20Chauss%C3%A9e%20de%20Bruxelles%20111%2C%201310%20La%20Hulpe%2C%20Belgium",https://www.chateaudelahulpe.be/,,,A contacter,Château,,Chateau de la Hulpe
Domaine du Chateau de Modave,,,,"https://www.google.com/maps/search/?api=1&query=Domaine%20du%20Chateau%20de%20Modave,Domaine%20du%20Chateau%20de%20Modave%2C%20Rue%20du%20Parc%204%2C%204577%20Modave%2C%20Belgium",http://www.modave-castle.be/,,,A contacter,Château,,Domaine du Chateau de Modave
Domaine de l’Abbaye,La salle (https://www.notion.so/La-salle-2d67dcbc5c1880b09d2ff5643515f4a8?pvs=21),,,"https://www.google.com/maps/place/Domaine+de+l'Abbaye/@50.4102928,3.4557015,3a,75y,90t/data=!3m8!1e2!3m6!1sCIHM0ogKEICAgIC62bXgHg!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fgps-cs-s%2FAG0ilSwHlfJxQQ3fquO0j0A2syFecFB0W_kdXfrg76LzO__7Z4GwW3RjbfWItqyx4GnypqW9jguWbfW0_HpXkAA3TSsaCRog_gJV7iiUyu-eLdnin1KybTnnrCwMVADW4t3m1o1X1HFG%3Dw163-h86-k-no!7i5552!8i2912!4m11!1m2!2m1!1s214+Rue+Roger+Salengro,+59590+Raismes,+France,214+Rue+Roger+Salengro,+59590+Raismes,+France!3m7!1s0x47c2e93209472d87:0x69d9f7cf7ae1d3bf!8m2!3d50.4102928!4d3.4557015!10e5!15sClsyMTQgUnVlIFJvZ2VyIFNhbGVuZ3JvLCA1OTU5MCBSYWlzbWVzLCBGcmFuY2UsMjE0IFJ1ZSBSb2dlciBTYWxlbmdybywgNTk1OTAgUmFpc21lcywgRnJhbmNlWlkiVzIxNCBydWUgcm9nZXIgc2FsZW5ncm8gNTk1OTAgcmFpc21lcyBmcmFuY2UgMjE0IHJ1ZSByb2dlciBzYWxlbmdybyA1OTU5MCByYWlzbWVzIGZyYW5jZZIBC2V2ZW50X3ZlbnVlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1Tk1tSXpSakZPTWxKTVlsUkNUMVJ1YUdwYVZ6RTJaVWhTV1dWSFl4QULgAQD6AQUIkQcQTA!16s%2Fg%2F1pty_n1wb?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://www.domainedelabbaye.net/sitemap.html,,,A contacter,Domaine,Réserver la salle (https://www.notion.so/R-server-la-salle-2d27dcbc5c1880ab8661d22b83c41bc2?pvs=21),"214 Rue Roger Salengro, 59590 Raismes, France"
Abbaye Notre-Dame de Bonne-Espérance,,,,"https://www.google.com/maps/place/Abbaye+Notre-Dame+de+Bonne-Esp%C3%A9rance/@50.386084,4.1426785,17z/data=!4m15!1m8!3m7!1s0x47c238995a25455d:0x931957653be967f!2sRue+Gr%C3%A9goire+Jurion+22,+7120+Estinnes,+Belgique!3b1!8m2!3d50.3862419!4d4.1438566!16s%2Fg%2F11bw3xq7v6!3m5!1s0x47c2389ce39463c7:0xec63840c0c3e7f8d!8m2!3d50.3863995!4d4.14344!16s%2Fm%2F03wh_cc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://www.abbaye-bonne-esperance.be/,,,A contacter,Domaine,,"Rue Grégoire Jurion 22, 7120 Estinnes, Belgium"
Traiteur Maréchal,,,,"https://www.google.com/maps/place/Traiteur+Mar%C3%A9chal/@50.7023565,5.7053369,17z/data=!4m15!1m8!3m7!1s0x47c0f206c319aaed:0x4225f7ef5099a50c!2sVoie+des+Fosses+83,+4607+Dalhem,+Belgique!3b1!8m2!3d50.7023565!4d5.7053369!16s%2Fg%2F11kb8wypts!3m5!1s0x47c0f206e7ec073d:0x4c92c8a461803b6f!8m2!3d50.7029037!4d5.7053084!16s%2Fg%2F1tggsp0m?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",,+3243742981,,A contacter,Salle,,"Voie des Fossés 83, 4607 Dalhem, Belgium"
L'Orangerie Villers-le-Bouillet,,,,"https://www.google.com/maps/place/L'Orangerie+Villers-le-Bouillet/@50.6129673,5.2474816,17z/data=!4m15!1m8!3m7!1s0x47c106e7fb549f49:0xc0d06a72d82814ea!2sRue+Docteur+E.+Neuville+17,+4530+Villers-le-Bouillet,+Belgique!3b1!8m2!3d50.6129673!4d5.2474816!16s%2Fg%2F11cpp829jj!3m5!1s0x47c107cf3b0bb5c1:0x48ff6ef28bb5f333!8m2!3d50.6129076!4d5.2475699!16s%2Fg%2F11p0gtr7m6?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",https://lorangerievillerslebouillet.be/menu/,+32496535310,,A contacter,Restaurant,,"Rue Docteur Emile Neuville 17, 4530 Villers-le-Bouillet, Belgium"
Le Château de Bac Saint-Maur,,,,"https://www.google.com/maps/search/?api=1&query=Le%20Ch%C3%A2teau%20de%20Bac%20Saint-Maur,Le%20Ch%C3%A2teau%20de%20Bac%20Saint-Maur%2C%20473%20Rue%20de%20la%20Lys%2C%2062840%20Sailly-sur-la-Lys%2C%20France",,,,A contacter,Château,,Le Château de Bac Saint-Maur
Waerboom,,,,"https://www.google.com/maps/place/Waerboom/@50.8804951,4.2470662,17z/data=!4m18!1m8!3m7!1s0x47c3c0ee580d8f21:0x430a30c24e0c581e!2sJozef+Mertensstraat+140,+1702+Dilbeek,+Belgique!3b1!8m2!3d50.8804951!4d4.2470662!16s%2Fg%2F11hbpdssp8!3m8!1s0x47c3c0ee69dea46b:0xc730a56aa93bb898!5m2!4m1!1i2!8m2!3d50.8803847!4d4.2470477!16s%2Fg%2F1vfp7c6g?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://www.waerboom.com/,+3224631500,,A contacter,Hotel,,"Jozef Mertensstraat 140, 1702 Dilbeek, Belgium"
Hôtel Skindles,,,,"https://www.google.com/maps/place/H%C3%B4tel+Skindles/@50.8556049,2.7226827,17z/data=!4m18!1m8!3m7!1s0x47dcc382a9e72c6f:0x698b37a2afcc351e!2sGasthuisstraat+57,+8970+Poperinge,+Belgique!3b1!8m2!3d50.8556049!4d2.7226827!16s%2Fg%2F11fvglndsh!3m8!1s0x47dcc378079e3fd1:0x491fb3e73c55c31a!5m2!4m1!1i2!8m2!3d50.8555435!4d2.7227008!16s%2Fg%2F11c3yw70m8?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://www.skindlespoperinge.com/,+32479914045,,A contacter,Hotel,,"Gasthuisstraat 57, 8970 Poperinge, Belgium"
Elinoa - Machelen,,,,"https://www.google.com/maps/place/Elinoa+-+Machelen/@50.8988641,4.4307653,17z/data=!4m18!1m8!3m7!1s0x47c3dd3a9334d9b9:0x1bc7e67178c1a820!2sBroekstraat+77,+1831+Machelen,+Belgique!3b1!8m2!3d50.8988641!4d4.4307653!16s%2Fg%2F11crs2ysgq!3m8!1s0x47c3dd041987230d:0x5db961de571ab35a!5m2!4m1!1i2!8m2!3d50.8989598!4d4.4318004!16s%2Fg%2F11vs35svkj?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",https://hotel.center.be.ivof.com/elinoa/,+32488513636,,A contacter,Hotel,,"Broekstraat 77, 1831 Machelen, Belgium"
Le Domaine de la Cendrée,,,,"https://www.google.com/maps/place/Le+Domaine+de+la+Cendrée/@50.464979,2.9005485,17z/data=!3m1!4b1!4m6!3m5!1s0x47dd326d73d61b6b:0x2214566a4ce39d55!8m2!3d50.464979!4d2.9031234!16s%2Fg%2F1vysvtld?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://ledomaine.fr/,+33321703636,,A contacter,Domaine,,"Domaine de la cendrée, Harnes"
"salle ""Le Pont Romain""",,,,"https://www.google.com/maps/place/salle+%22Le+Pont+Romain%22/@50.285868,4.1797924,17z/data=!4m15!1m8!3m7!1s0x47c23e31a703774b:0xf64ecba756f3f963!2sRte+de+Mons+54,+6560+Erquelinnes,+Belgique!3b1!8m2!3d50.285868!4d4.1823673!16s%2Fg%2F11c4qlqw8z!3m5!1s0x47c23ffeda1fa541:0xa978d069883d0714!8m2!3d50.28589!4d4.1823569!16s%2Fg%2F11ld45t92n?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",https://lepontromain.be/,+32477857466,,A contacter,Salle,,"Rte de Mons 54, 6560 Erquelinnes, Belgique"
La salle des Marronniers,,,,"https://www.google.com/maps/place/La+salle+des+Marronniers/@50.7847983,2.5741596,17z/data=!4m15!1m8!3m7!1s0x47dce6521f705adf:0x896a1c590f36e7a!2s274+All.+des+Marronniers,+59114+Eecke,+France!3b1!8m2!3d50.7847983!4d2.5767345!16s%2Fg%2F11c0zzqvwz!3m5!1s0x47dce772bdd51019:0x26ff84a9bb7f7b07!8m2!3d50.7847983!4d2.5767345!16s%2Fg%2F11krdjm5mx?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",,+33632498095,,A contacter,Salle,,"274 All. des Marronniers, 59114 Eecke, France"
Domaine de Franc-Waret,,,,"https://www.google.com/maps/place/Domaine+de+Franc-Waret/@50.5205452,4.9732875,18z/data=!4m15!1m8!3m7!1s0x47c1a1c64173c52d:0x4edbe6f3d8dac65d!2sRue+du+Village+50,+5380+Fernelmont,+Belgique!3b1!8m2!3d50.5204565!4d4.9747976!16s%2Fg%2F11c3q2t6n0!3m5!1s0x47c1a1c64173c52d:0x9c92973099a48a8b!8m2!3d50.5196565!4d4.9741281!16s%2Fm%2F02r1x55?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://www.franc-waret.com/,+32477892035,,A contacter,Domaine,,"Rue du Village 50, 5380 Fernelmont, Belgique"
Palais d'Afrique,,,,"https://www.google.com/maps/place/Palais+d'Afrique/@50.8277613,4.5112902,17z/data=!4m6!3m5!1s0x47c3d95b00c7a105:0x5153d89cce875dc!8m2!3d50.8284522!4d4.5152986!16s%2Fg%2F120z1gbv?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://www.afrikapaleis.be/,+3234601199,,A contacter,Salle,,"Paleizenlaan, 3080 Tervuren, Belgique"